Wavelength, Absorbance
400.000, 0.856
410.000, 0.709
420.000, 0.574
430.000, 0.486
440.000, 0.452
450.000, 0.454
460.000, 0.482
470.000, 0.518
480.000, 0.552
490.000, 0.582
500.000, 0.605
510.000, 0.625
520.000, 0.637
530.000, 0.637
540.000, 0.631
550.000, 0.622
560.000, 0.614
570.000, 0.618
580.000, 0.630
590.000, 0.642
600.000, 0.643
610.000, 0.628
620.000, 0.595
630.000, 0.535
640.000, 0.456
650.000, 0.376
660.000, 0.298
670.000, 0.225
680.000, 0.165
690.000, 0.106
700.000, 0.062
710.000, 0.037
720.000, 0.023
730.000, 0.015
740.000, 0.012
750.000, 0.012
760.000, 0.012
770.000, 0.012
780.000, 0.010
790.000, 0.010
