Wavelength, Absorbance
400.000, 0.837
410.000, 0.669
420.000, 0.528
430.000, 0.444
440.000, 0.429
450.000, 0.471
460.000, 0.549
470.000, 0.644
480.000, 0.743
490.000, 0.835
500.000, 0.906
510.000, 0.949
520.000, 0.959
530.000, 0.935
540.000, 0.878
550.000, 0.809
560.000, 0.736
570.000, 0.670
580.000, 0.617
590.000, 0.568
600.000, 0.524
610.000, 0.476
620.000, 0.424
630.000, 0.365
640.000, 0.305
650.000, 0.243
660.000, 0.189
670.000, 0.141
680.000, 0.102
690.000, 0.074
700.000, 0.051
710.000, 0.037
720.000, 0.027
730.000, 0.019
740.000, 0.016
750.000, 0.014
760.000, 0.012
770.000, 0.010
780.000, 0.010
790.000, 0.010
