Wavelength (nm),basic,Acid,10-10,12-8,14-6,16-4,18-2
850.00,-0.006864,-0.006014,0.001156,-0.008940,0.000464,-0.012027,-0.001437
849.50,-0.009728,-0.009293,-0.003450,-0.011273,-0.002959,-0.009757,0.000021
849.00,-0.010445,-0.007858,-0.002210,-0.012800,-0.000130,-0.011287,0.000032
848.50,-0.010204,-0.011264,0.000805,-0.010761,-0.001872,-0.008514,-0.001924
848.00,-0.008162,-0.011543,0.000741,-0.004728,0.000938,-0.008525,0.002272
847.50,-0.008691,-0.009547,0.002408,-0.006480,0.003668,-0.006003,-0.000505
847.00,-0.007820,-0.006326,0.002884,-0.005961,0.005042,-0.003925,0.002095
846.50,-0.007685,-0.010493,0.002039,-0.007954,-0.001160,-0.007928,0.000095
846.00,-0.008906,-0.010086,-0.001638,-0.011800,-0.000988,-0.011634,-0.004645
845.50,-0.008744,-0.007956,0.000090,-0.008268,0.002516,-0.010378,0.000059
845.00,-0.009913,-0.008162,0.000489,-0.010439,0.001015,-0.007031,-0.000177
844.50,-0.008155,-0.006288,-0.000289,-0.008103,0.000911,-0.010368,0.001631
844.00,-0.012891,-0.008926,0.002433,-0.010029,-0.000765,-0.010039,0.002098
843.50,-0.005212,-0.006687,0.001074,-0.009812,-0.000317,-0.008314,0.002575
843.00,-0.012853,-0.014614,-0.008203,-0.016766,-0.007175,-0.016789,-0.005320
842.50,-0.013947,-0.008885,-0.000619,-0.013784,0.000008,-0.012717,-0.003543
842.00,-0.010609,-0.009468,-0.000144,-0.008207,0.002269,-0.006240,0.000122
841.50,-0.012572,-0.011247,-0.003010,-0.013298,-0.001586,-0.013196,-0.003093
841.00,-0.008368,-0.009027,-0.001613,-0.009061,0.000626,-0.010213,0.000715
840.50,-0.009447,-0.011000,0.001180,-0.010211,0.002031,-0.010814,-0.000105
840.00,-0.010771,-0.014608,-0.000364,-0.010034,-0.001577,-0.011623,-0.001919
839.50,-0.010503,-0.010782,-0.000619,-0.012398,0.001795,-0.013924,-0.001819
839.00,-0.009607,-0.009785,-0.005996,-0.008812,-0.001881,-0.010092,0.000350
838.50,-0.010131,-0.009031,-0.002253,-0.011573,-0.002153,-0.008379,-0.001565
838.00,-0.007550,-0.008176,-0.000285,-0.008759,0.002905,-0.005696,0.001174
837.50,-0.010956,-0.011027,-0.001233,-0.011145,-0.000663,-0.011862,-0.001895
837.00,-0.013036,-0.013008,-0.002458,-0.011703,-0.003999,-0.013163,-0.002620
836.50,-0.011191,-0.012476,-0.002300,-0.014623,-0.003152,-0.010889,-0.003465
836.00,-0.008910,-0.010642,-0.000424,-0.011483,0.002138,-0.008285,0.000658
835.50,-0.008036,-0.010335,0.000525,-0.011058,-0.000209,-0.008863,0.001224
835.00,-0.011389,-0.012543,-0.001984,-0.012273,0.000119,-0.011290,-0.000786
834.50,-0.012639,-0.013477,-0.001178,-0.014906,-0.000914,-0.013715,-0.002042
834.00,-0.011937,-0.013891,-0.001528,-0.013748,-0.000386,-0.013720,-0.001490
833.50,-0.011429,-0.012516,-0.000958,-0.011868,-0.001147,-0.011348,0.000374
833.00,-0.009069,-0.009986,-0.003183,-0.009461,0.001537,-0.006933,-0.000001
832.50,-0.010237,-0.009186,0.000890,-0.010752,0.000439,-0.008143,0.000866
832.00,-0.007832,-0.008752,-0.000451,-0.009286,0.002365,-0.008918,-0.000895
831.50,-0.011318,-0.010902,-0.001830,-0.012266,0.000693,-0.009620,-0.002197
831.00,-0.009975,-0.011624,-0.002730,-0.010336,0.000804,-0.011286,-0.002105
830.50,-0.012065,-0.012034,-0.003200,-0.008202,-0.001158,-0.010939,-0.002072
830.00,-0.010124,-0.011629,0.000585,-0.012234,0.000332,-0.011600,0.001704
829.50,-0.013011,-0.013245,-0.001909,-0.014107,-0.002143,-0.012716,-0.002427
829.00,-0.011249,-0.011883,0.000957,-0.010338,-0.000006,-0.009393,-0.000903
828.50,-0.011604,-0.011095,-0.000976,-0.011951,0.000655,-0.011730,0.000139
828.00,-0.012521,-0.013976,-0.001534,-0.013654,-0.000570,-0.013098,-0.001352
827.50,-0.012587,-0.014060,-0.000225,-0.013495,-0.000293,-0.013243,0.000239
827.00,-0.008954,-0.010420,0.001686,-0.009984,-0.000261,-0.009863,0.001313
826.50,-0.011017,-0.011968,-0.001638,-0.011895,-0.002700,-0.012408,0.000204
826.00,-0.009350,-0.011125,-0.000289,-0.011279,-0.000443,-0.011050,-0.000461
825.50,-0.010338,-0.010690,0.002816,-0.010908,0.000138,-0.012121,-0.001239
825.00,-0.012666,-0.013117,-0.003636,-0.014689,-0.001628,-0.012743,-0.003189
824.50,-0.012623,-0.012308,-0.000841,-0.012269,-0.000280,-0.011720,-0.000993
824.00,-0.011824,-0.012729,-0.001183,-0.012638,-0.000395,-0.012403,-0.001236
823.50,-0.012261,-0.012607,-0.000592,-0.013243,-0.000522,-0.012677,-0.000961
823.00,-0.013687,-0.014150,-0.000807,-0.013979,0.000021,-0.013970,-0.000839
822.50,-0.012482,-0.013964,-0.000975,-0.013848,-0.000189,-0.012534,-0.000322
822.00,-0.010888,-0.010645,-0.001092,-0.010490,0.000693,-0.009728,-0.000102
821.50,-0.011936,-0.011543,-0.003159,-0.011308,-0.001565,-0.010342,-0.001499
821.00,-0.009201,-0.009969,0.000443,-0.011919,0.002703,-0.010357,-0.000390
820.50,-0.011461,-0.010379,-0.000761,-0.010158,-0.001269,-0.010870,-0.001895
820.00,-0.008350,-0.010427,0.000470,-0.008231,0.000473,-0.009137,0.003346
819.50,-0.009498,-0.009052,0.000533,-0.009447,0.001343,-0.009283,-0.000547
819.00,-0.008768,-0.009888,-0.001009,-0.008794,0.001295,-0.007618,0.001195
818.50,-0.006810,-0.006209,0.002956,-0.007751,0.003245,-0.009302,0.002321
818.00,-0.009029,-0.009621,-0.001624,-0.010672,-0.000028,-0.008155,-0.000078
817.50,-0.009314,-0.008012,0.001241,-0.007709,-0.002385,-0.008832,-0.000977
817.00,-0.008481,-0.011289,-0.002488,-0.011640,-0.001325,-0.008782,-0.001546
816.50,-0.012401,-0.012532,-0.004962,-0.012960,-0.005003,-0.014799,-0.002834
816.00,-0.009071,-0.011764,-0.002281,-0.011362,0.004365,-0.011053,-0.002214
815.50,-0.006556,-0.011987,-0.001839,-0.008307,-0.000783,-0.008063,-0.004017
815.00,-0.007930,-0.005707,-0.000294,-0.006611,0.000227,-0.008667,0.003437
814.50,-0.009350,-0.011045,0.000479,-0.011666,-0.001609,-0.008063,-0.003112
814.00,-0.013916,-0.009689,-0.005890,-0.013212,-0.004685,-0.013117,-0.005063
813.50,-0.011516,-0.012762,-0.001848,-0.011622,-0.003243,-0.010780,-0.003345
813.00,-0.008601,-0.008948,-0.001549,-0.008981,0.000541,-0.006647,-0.000968
812.50,-0.014230,-0.012519,-0.007386,-0.012148,-0.008883,-0.015841,-0.004682
812.00,-0.010829,-0.009572,-0.001096,-0.011176,0.000740,-0.009653,0.000603
811.50,-0.005104,-0.007811,0.000055,-0.007322,0.001076,-0.006933,0.001622
811.00,-0.010979,-0.014779,-0.003018,-0.011806,-0.003832,-0.014362,-0.001416
810.50,-0.010577,-0.008786,-0.000124,-0.010197,-0.005587,-0.012028,-0.004106
810.00,-0.004925,-0.009008,0.001286,-0.007335,0.003049,-0.006116,0.004275
809.50,-0.005050,-0.006165,0.002163,-0.008118,0.001168,-0.005722,0.003167
809.00,-0.009561,-0.010174,-0.005221,-0.014009,-0.005644,-0.012391,-0.003451
808.50,-0.010233,-0.008745,0.002037,-0.009066,-0.002958,-0.013335,0.000206
808.00,-0.010044,-0.012848,-0.001128,-0.012621,-0.001526,-0.010991,-0.003349
807.50,-0.012297,-0.012664,-0.003004,-0.013723,-0.007625,-0.012158,-0.003978
807.00,-0.010795,-0.013754,-0.001617,-0.010488,-0.002973,-0.011167,-0.003788
806.50,-0.009470,-0.009246,-0.000702,-0.009565,-0.001811,-0.009706,-0.000285
806.00,-0.009195,-0.008649,-0.003112,-0.012017,-0.002414,-0.008989,-0.001444
805.50,-0.004887,-0.007127,-0.000079,-0.010347,0.000096,-0.011436,-0.000754
805.00,-0.006406,-0.006804,0.001391,-0.007522,0.002465,-0.004478,0.001176
804.50,-0.006771,-0.008307,0.003521,-0.008556,0.004483,-0.007525,0.000873
804.00,-0.007280,-0.005206,0.000110,-0.008580,0.001466,-0.009368,0.001861
803.50,-0.009527,-0.009999,-0.005043,-0.013184,-0.000525,-0.010703,-0.001058
