basic methyl red
1/1/2006 12:59:45 PM
Wavelength (nm),Absorbance
850.00,0.001229
849.00,-0.000475
848.00,0.000616
847.00,-0.000577
846.00,-0.000690
845.00,-0.000558
844.00,-0.000196
843.00,-0.001194
842.00,-0.000611
841.00,-0.000301
840.00,-0.000376
839.00,-0.001071
838.00,-0.000317
837.00,-0.001016
836.00,0.000060
835.00,-0.000254
834.00,0.000020
833.00,-0.000703
832.00,0.000177
831.00,0.000315
830.00,0.000338
829.00,-0.000055
828.00,0.000049
827.00,-0.000011
826.00,-0.000083
825.00,-0.000246
824.00,0.000042
823.00,-0.000185
822.00,-0.000395
821.00,0.000079
820.00,0.000749
819.00,0.000096
818.00,0.000742
817.00,-0.000287
816.00,0.001065
815.00,0.000182
814.00,-0.000038
813.00,0.002331
812.00,-0.000046
811.00,-0.000248
810.00,0.000846
809.00,-0.000157
808.00,0.000798
807.00,0.000012
806.00,0.000114
805.00,0.000802
804.00,0.000617
803.00,0.000493
802.00,0.001116
801.00,-0.000766
800.00,0.001018
799.00,-0.000161
798.00,0.000574
797.00,0.000037
796.00,-0.000067
795.00,-0.000695
794.00,0.001300
793.00,0.000440
792.00,0.001070
791.00,0.000303
790.00,0.000256
789.00,0.000843
788.00,0.000452
787.00,0.000385
786.00,0.000187
785.00,0.000475
784.00,-0.001222
783.00,-0.000262
782.00,-0.000568
781.00,-0.000411
780.00,-0.000525
779.00,-0.001204
778.00,-0.001228
777.00,0.000547
776.00,0.000079
775.00,-0.000196
774.00,0.000610
773.00,-0.000623
772.00,-0.000597
771.00,-0.000563
770.00,0.000061
769.00,-0.000797
768.00,-0.001937
767.00,0.000165
766.00,-0.000208
765.00,-0.000419
764.00,-0.000014
763.00,-0.000518
762.00,-0.000515
761.00,-0.000473
760.00,-0.000309
759.00,-0.000104
758.00,0.000078
757.00,-0.000421
756.00,-0.000441
755.00,0.000293
754.00,-0.000387
753.00,-0.000044
752.00,-0.000924
751.00,-0.000142
750.00,-0.000163
749.00,-0.000185
748.00,0.000581
747.00,-0.000077
746.00,0.000218
745.00,0.000337
744.00,-0.000088
743.00,-0.000113
742.00,0.000333
741.00,0.000213
740.00,0.000222
739.00,0.000307
738.00,-0.000632
737.00,0.000245
736.00,-0.000209
735.00,-0.000177
734.00,-0.000260
733.00,0.000053
732.00,0.000050
731.00,0.000063
730.00,-0.000058
729.00,-0.000195
728.00,0.000362
727.00,-0.000083
726.00,0.000392
725.00,-0.000193
724.00,-0.000672
723.00,-0.000327
722.00,0.000541
721.00,0.000179
720.00,-0.000159
719.00,-0.000260
718.00,0.000226
717.00,0.000591
716.00,0.000014
715.00,-0.000212
714.00,0.000282
713.00,0.000411
712.00,0.000079
711.00,0.000253
710.00,0.000277
709.00,-0.000399
708.00,0.000078
707.00,0.000677
706.00,-0.000105
705.00,-0.000044
704.00,-0.000241
703.00,-0.000053
702.00,-0.000067
701.00,0.000108
700.00,-0.000015
699.00,-0.000068
698.00,0.000024
697.00,-0.000378
696.00,-0.000012
695.00,0.000213
694.00,0.000182
693.00,-0.000048
692.00,0.000340
691.00,-0.000502
690.00,-0.000421
689.00,0.000226
688.00,0.000302
687.00,0.000139
686.00,0.000101
685.00,0.000138
684.00,0.000376
683.00,0.000003
682.00,0.000237
681.00,0.000051
680.00,0.000012
679.00,-0.000254
678.00,0.000106
677.00,0.000247
676.00,-0.000107
675.00,0.000194
674.00,0.000027
673.00,-0.000188
672.00,0.000108
671.00,0.000235
670.00,0.000032
669.00,0.000158
668.00,0.000354
667.00,-0.000248
666.00,-0.000187
665.00,0.000181
664.00,0.000233
663.00,0.000139
662.00,-0.000172
661.00,0.000046
660.00,-0.000020
659.00,-0.000104
658.00,0.000536
657.00,0.000177
656.00,-0.000175
655.00,-0.000539
654.00,-0.000447
653.00,0.000085
652.00,0.000075
651.00,0.000122
650.00,0.000250
649.00,0.000305
648.00,0.001087
647.00,0.000178
646.00,0.000436
645.00,0.000342
644.00,-0.000090
643.00,-0.000094
642.00,0.000459
641.00,0.000102
640.00,0.000227
639.00,0.000557
638.00,0.000605
637.00,0.000445
636.00,0.000347
635.00,0.000312
634.00,-0.000101
633.00,0.000439
632.00,0.000408
631.00,0.000499
630.00,0.000980
629.00,0.000321
628.00,0.000142
627.00,0.000493
626.00,0.000707
625.00,0.000767
624.00,0.000521
623.00,0.000636
622.00,0.000615
621.00,0.000849
620.00,0.000670
619.00,0.000863
618.00,0.000654
617.00,0.000684
616.00,0.001024
615.00,0.001014
614.00,0.000696
613.00,0.001205
612.00,0.001300
611.00,0.000943
610.00,0.001251
609.00,0.001303
608.00,0.001258
607.00,0.001254
606.00,0.001531
605.00,0.001490
604.00,0.001659
603.00,0.001615
602.00,0.001396
601.00,0.001806
600.00,0.002070
599.00,0.001937
598.00,0.002040
597.00,0.002178
596.00,0.002204
595.00,0.002144
594.00,0.002564
593.00,0.002570
592.00,0.002535
591.00,0.002882
590.00,0.003379
589.00,0.003343
588.00,0.003364
587.00,0.003960
586.00,0.003906
585.00,0.004403
584.00,0.004729
583.00,0.005201
582.00,0.005251
581.00,0.005415
580.00,0.005623
579.00,0.006218
578.00,0.006705
577.00,0.007125
576.00,0.007504
575.00,0.008114
574.00,0.008166
573.00,0.009125
572.00,0.009273
571.00,0.009604
570.00,0.010201
569.00,0.010684
568.00,0.010924
567.00,0.011741
566.00,0.012076
565.00,0.012368
564.00,0.013027
563.00,0.013288
562.00,0.014005
561.00,0.014242
560.00,0.014217
559.00,0.014694
558.00,0.015030
557.00,0.015261
556.00,0.015621
555.00,0.015689
554.00,0.016019
553.00,0.016080
552.00,0.016482
551.00,0.016590
550.00,0.016852
549.00,0.017106
548.00,0.017337
547.00,0.017249
546.00,0.017746
545.00,0.017984
544.00,0.018120
543.00,0.018272
542.00,0.018566
541.00,0.018745
540.00,0.019038
539.00,0.019430
538.00,0.020040
537.00,0.020484
536.00,0.020719
535.00,0.021213
534.00,0.021676
533.00,0.022244
532.00,0.022823
531.00,0.023471
530.00,0.024292
529.00,0.024828
528.00,0.025700
527.00,0.026467
526.00,0.027280
525.00,0.028081
524.00,0.029230
