lambda,basic1,basic2,acidic
#Wavelength (nm),Absorbance,Absorbance,Absorbance
650.00,0.000250,0.000068,0.000705
649.00,0.000305,0.000372,0.000415
648.00,0.001087,0.000613,0.000824
647.00,0.000178,0.000110,0.000615
646.00,0.000436,0.000318,0.000867
645.00,0.000342,0.000464,0.000689
644.00,-0.000090,-0.000299,0.000642
643.00,-0.000094,0.000365,0.000503
642.00,0.000459,0.000284,0.000779
641.00,0.000102,0.000456,0.000727
640.00,0.000227,0.000561,0.000878
639.00,0.000557,0.000749,0.001189
638.00,0.000605,0.000643,0.001281
637.00,0.000445,0.000269,0.000839
636.00,0.000347,-0.000153,0.000504
635.00,0.000312,0.000299,0.000954
634.00,-0.000101,0.000095,0.001216
633.00,0.000439,0.000761,0.001139
632.00,0.000408,0.000573,0.001212
631.00,0.000499,0.000235,0.001059
630.00,0.000980,0.000321,0.001742
629.00,0.000321,0.000395,0.001687
628.00,0.000142,0.000284,0.001683
627.00,0.000493,0.000551,0.001606
626.00,0.000707,0.000540,0.002161
625.00,0.000767,0.000878,0.002386
624.00,0.000521,0.000616,0.002449
623.00,0.000636,0.000462,0.002650
622.00,0.000615,0.000602,0.002593
621.00,0.000849,0.000811,0.002765
620.00,0.000670,0.000366,0.003274
619.00,0.000863,0.000407,0.003663
618.00,0.000654,0.000434,0.003594
617.00,0.000684,0.000627,0.004329
616.00,0.001024,0.000763,0.004534
615.00,0.001014,0.000712,0.005111
614.00,0.000696,0.000815,0.005073
613.00,0.001205,0.000874,0.005883
612.00,0.001300,0.000855,0.006621
611.00,0.000943,0.000842,0.007107
610.00,0.001251,0.001098,0.007968
609.00,0.001303,0.000961,0.008596
608.00,0.001258,0.000919,0.009392
607.00,0.001254,0.001239,0.010496
606.00,0.001531,0.001606,0.011798
605.00,0.001490,0.001332,0.012953
604.00,0.001659,0.001155,0.014096
603.00,0.001615,0.001491,0.015725
602.00,0.001396,0.001387,0.017187
601.00,0.001806,0.001767,0.019596
600.00,0.002070,0.002140,0.022084
599.00,0.001937,0.002050,0.024139
598.00,0.002040,0.002211,0.027025
597.00,0.002178,0.002097,0.029825
596.00,0.002204,0.002243,0.033378
595.00,0.002144,0.002119,0.037377
594.00,0.002564,0.002410,0.041591
593.00,0.002570,0.002484,0.045899
592.00,0.002535,0.002848,0.051035
591.00,0.002882,0.002609,0.056358
590.00,0.003379,0.003406,0.063239
589.00,0.003343,0.003413,0.069867
588.00,0.003364,0.003556,0.077808
587.00,0.003960,0.003474,0.086095
586.00,0.003906,0.003788,0.094953
585.00,0.004403,0.004337,0.105136
584.00,0.004729,0.004668,0.116135
583.00,0.005201,0.004803,0.126578
582.00,0.005251,0.005006,0.138046
581.00,0.005415,0.005506,0.150699
580.00,0.005623,0.005884,0.163666
579.00,0.006218,0.006113,0.178900
578.00,0.006705,0.006485,0.194780
577.00,0.007125,0.006915,0.210705
576.00,0.007504,0.007406,0.226429
575.00,0.008114,0.007856,0.242778
574.00,0.008166,0.008200,0.260259
573.00,0.009125,0.008750,0.279236
572.00,0.009273,0.009279,0.296467
571.00,0.009604,0.009669,0.314623
570.00,0.010201,0.010117,0.332122
569.00,0.010684,0.010625,0.349705
568.00,0.010924,0.010783,0.367999
567.00,0.011741,0.011519,0.387253
566.00,0.012076,0.011957,0.404082
565.00,0.012368,0.012421,0.420666
564.00,0.013027,0.013177,0.436477
563.00,0.013288,0.013379,0.451774
562.00,0.014005,0.013838,0.467301
561.00,0.014242,0.013969,0.480698
560.00,0.014217,0.014308,0.493061
559.00,0.014694,0.014766,0.504811
558.00,0.015030,0.014994,0.515016
557.00,0.015261,0.015245,0.525028
556.00,0.015621,0.015807,0.533828
555.00,0.015689,0.015865,0.541108
554.00,0.016019,0.015928,0.548227
553.00,0.016080,0.016258,0.554152
552.00,0.016482,0.016423,0.559203
551.00,0.016590,0.016676,0.563985
550.00,0.016852,0.016944,0.567907
549.00,0.017106,0.017161,0.571440
548.00,0.017337,0.017231,0.574090
547.00,0.017249,0.017217,0.576448
546.00,0.017746,0.017679,0.578691
545.00,0.017984,0.017857,0.580854
544.00,0.018120,0.018124,0.582802
543.00,0.018272,0.018241,0.584519
542.00,0.018566,0.018649,0.586487
541.00,0.018745,0.018804,0.587931
540.00,0.019038,0.019183,0.589584
539.00,0.019430,0.019505,0.591280
538.00,0.020040,0.019805,0.593338
537.00,0.020484,0.020393,0.595427
536.00,0.020719,0.020830,0.597569
535.00,0.021213,0.021501,0.599712
534.00,0.021676,0.021682,0.601963
533.00,0.022244,0.022372,0.604457
532.00,0.022823,0.022865,0.606239
531.00,0.023471,0.023654,0.608763
530.00,0.024292,0.024350,0.610728
529.00,0.024828,0.024964,0.612281
528.00,0.025700,0.025727,0.613719
527.00,0.026467,0.026478,0.614901
526.00,0.027280,0.027477,0.615748
525.00,0.028081,0.028169,0.615879
524.00,0.029230,0.029194,0.615889
523.00,0.030258,0.030297,0.615556
522.00,0.031262,0.031289,0.614197
521.00,0.032561,0.032480,0.612733
520.00,0.033543,0.033785,0.610186
519.00,0.035064,0.035154,0.607886
518.00,0.036385,0.036292,0.604717
517.00,0.037828,0.037831,0.600652
516.00,0.039150,0.039243,0.595776
515.00,0.040737,0.040976,0.590874
514.00,0.042537,0.042546,0.585976
513.00,0.043809,0.043851,0.580173
512.00,0.045696,0.045742,0.573987
511.00,0.047805,0.047803,0.566830
510.00,0.049661,0.049730,0.560103
509.00,0.051961,0.051899,0.553275
508.00,0.053987,0.054054,0.545702
507.00,0.056091,0.056443,0.538273
506.00,0.058852,0.058871,0.529722
505.00,0.061279,0.061184,0.522033
504.00,0.063625,0.063578,0.513657
503.00,0.066460,0.066512,0.506325
502.00,0.069153,0.069324,0.499092
501.00,0.072119,0.072059,0.490501
500.00,0.075225,0.075176,0.481988
499.00,0.078416,0.078362,0.474194
498.00,0.081565,0.081508,0.465669
497.00,0.084624,0.084621,0.457961
496.00,0.088074,0.087978,0.450193
495.00,0.091720,0.091545,0.441623
494.00,0.095507,0.095473,0.432928
493.00,0.099042,0.098980,0.424509
492.00,0.102561,0.102459,0.417170
491.00,0.105887,0.105906,0.409093
490.00,0.109951,0.109954,0.400708
489.00,0.114048,0.113946,0.391588
488.00,0.118004,0.117893,0.382963
487.00,0.121698,0.121611,0.374860
486.00,0.125789,0.125661,0.366092
485.00,0.129672,0.129700,0.357775
484.00,0.133687,0.133637,0.349405
483.00,0.137906,0.137835,0.340381
482.00,0.141863,0.141779,0.331881
481.00,0.146100,0.145998,0.323153
480.00,0.149910,0.149618,0.314976
479.00,0.153752,0.153619,0.306884
478.00,0.157832,0.157723,0.298477
477.00,0.161976,0.161857,0.289033
476.00,0.165773,0.165695,0.281427
475.00,0.169736,0.169448,0.273540
474.00,0.173393,0.173200,0.265378
473.00,0.176990,0.176913,0.257618
472.00,0.181116,0.180980,0.249848
471.00,0.184572,0.184350,0.242060
470.00,0.188034,0.187789,0.234736
469.00,0.191376,0.191136,0.227627
468.00,0.194575,0.194217,0.220922
467.00,0.197830,0.197648,0.213766
466.00,0.201053,0.200950,0.206734
465.00,0.204264,0.204061,0.200109
464.00,0.207118,0.206856,0.193514
463.00,0.209872,0.209601,0.187187
462.00,0.212693,0.212395,0.181439
461.00,0.215233,0.215120,0.174898
460.00,0.217778,0.217646,0.169044
459.00,0.220156,0.219956,0.163502
458.00,0.222311,0.222019,0.158047
457.00,0.224299,0.224195,0.152799
456.00,0.226123,0.226156,0.147479
455.00,0.228173,0.228247,0.142292
454.00,0.230118,0.229971,0.136661
453.00,0.231728,0.231546,0.132108
452.00,0.233378,0.233251,0.127430
451.00,0.234663,0.234663,0.122925
450.00,0.235954,0.235810,0.118560
449.00,0.237393,0.237215,0.113968
448.00,0.238375,0.238318,0.109887
447.00,0.239434,0.239457,0.105739
446.00,0.240301,0.240263,0.102193
445.00,0.241175,0.241023,0.098720
444.00,0.241909,0.241869,0.094821
443.00,0.242720,0.242692,0.091175
442.00,0.243280,0.243197,0.087844
441.00,0.243700,0.243726,0.084590
440.00,0.244244,0.244219,0.081540
439.00,0.244612,0.244644,0.078423
438.00,0.245024,0.244983,0.075522
